PLAYER_NAME,PTS,AST,REB,TOV,STL,BLK,FG3A,FGA,FTA,FG3_PCT
Jontay Porter,14.8,7.7,10.5,2.7,2.6,2.6,7.7,13.4,2.3,0.333
Jordan Clarkson,26.6,7.8,5.3,4.1,1,0.2,8.7,23.1,5.7,0.294
Jordan Ford,26.7,4.4,4.4,2.2,0,0,6.7,15.6,4.4,0.667
Jordan Goodwin,17,7.1,11.7,2.6,2.2,0.8,6.5,17.6,2.7,0.298
Jordan Hawkins,21.4,2.9,6,1.6,0.8,0.3,12.2,18.6,3.3,0.366
Jordan McLaughlin,14.9,8.4,5.5,1.4,2.7,0.5,6.8,11.1,1.4,0.472
Jordan Miller,20.6,0,7.9,1.6,0,0,3.2,14.3,3.2,0.5
Jordan Nwora,23.4,4,9.6,3.4,1.7,0.8,8.4,19.2,3.4,0.336
Jordan Poole,26.5,6.7,4.1,3.7,1.7,0.5,11,23.2,4.3,0.326
Jordan Walsh,8.9,3,11.8,1.8,3,0.6,5.3,8.9,1.2,0.222
Jose Alvarado,18.6,5.5,6,1.9,2.8,0.7,9.7,16.1,2.4,0.377
Josh Giddey,22.9,9,12,3.9,1.2,1,5.7,19.7,2.9,0.337
Josh Green,14.8,4.1,5.8,1.9,1.5,0.3,5.9,11.8,1.8,0.385
Josh Hart,14.1,6.1,12.5,2.2,1.4,0.4,4.8,12.6,2.1,0.31
Josh Minott,22.9,3.7,7.8,0.9,2.3,2.3,4.6,16.5,6.4,0.4
Josh Okogie,13.8,3.2,7.7,1.8,2.4,1.2,4.7,10.3,5.1,0.309
Josh Richardson,18.7,4.6,5.3,1.6,1.1,0.6,8.4,15.3,2.4,0.347
Joshua Primo,8.3,0,4.2,16.7,0,4.2,4.2,12.5,0,0
Jrue Holiday,18.5,7.2,8,2.7,1.3,1.1,6.9,14.8,1.5,0.429
Juan Toscano-Anderson,6.4,3.6,12.7,1.8,0.9,0.9,3.6,10.9,0,0.25
Jules Bernard,22.4,4.8,7.9,2.4,0.9,0.3,8.8,19.3,2.7,0.379
Julian Champagnie,16,3.3,6.5,1.8,1.5,1.3,8.8,12.8,2.9,0.365
Julian Phillips,13.2,1.9,5.3,1.5,1,1,5.6,11.4,2.8,0.316
